Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Property,,,,,Darick Robertson,pencils,Joint Creator/First & Last Rights; Artist; WFH,Y,,,DEAC8A2D-B7B0-5B46-A0A6-C7DA1465E2DA
,Property,,,,,Jerome Moore,inks,WFH,,,,5010DE96-BC4E-014F-8431-3694C6A2080B
,Property,,,,,Geofrey Darrow,cover,WFH,,,,80AF033F-5E48-D84F-A976-00E3C879F2A3
,Property,,,,,Nathan Eyring,color,N/A,,,,56B397EC-2D1C-5D46-A088-37D255B4B754
"The Trickster
(James Jesse)",Character,"Flash 117
(3/31/2015)","Flash #113
""Danger in the Air""",Jun-60,Y,John Broome,writer,None,,Deceased,,BA80F910-75DA-FE4C-A557-FCF83D02366F
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,E8F78422-EB65-CA44-8622-0BBC3D1BCE00
,Character,,,,,Joe Giella,"inks, cover inks",None,,,,E63F04FF-4DFF-8A4E-AE9F-092A583CCB0E
"The Trickster
(Axel Walker)",Character,"Flash 117
(3/31/2015)",Flash #183,Apr-02,Y,Geoff Johns,writer,WFH,,,,6E8C41BA-1B05-5640-B557-EF699DAA7D71
,Character,,,,,Scott Kolins,pencils,WFH,,,,2AB563DF-7C66-5F41-BF88-EF6A070354D9
,Character,,,,,Doug Hazlewood,inks,WFH,,,,C93953F4-D76F-4242-8968-848CAAE5431E
,Character,,,,,Brian J. Bolland,cover,None,,,,0C1A3ED9-001F-C744-B6F1-BF49C6901D08
,Character,,,,,James Sinclair,color,N/A,,,,696CF127-7F9A-A346-A2FF-7621F1A167E3
Trigate Bridge,Location,Gotham 422,"Gotham City Secret Files #1
(No Man's Land Map)",Apr-00,N,Eliot R. Brown,artist,WFH,,"Although Brown designed the map, the place names were provided to him by the editorial staff of the time. Brown's account is online at http://www.eliotrbrown.com/wp/gotham-city-map.html/",,F9609728-C638-2E44-90A6-96625CA74139
Trigon,Character,,New Teen Titans #4,Feb-81,N,Marv Wolfman,writer,Exclusive,Y,,,D599A34B-98D7-614E-92AF-226D69819088
,Character,,,,,George Perez,"pencils, cover",None,Y,,,33167B6C-B19B-6D40-AB76-D72F5CE2604D
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,915D5E9C-3FA1-4047-83D3-0C0C0F444BDE
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,5991FF45-42F2-1B43-AA2A-F8139C7F9FE2
Trigona,Character,"Wonder Woman
(2017)",Wonder Woman #0,Oct-94,N,William Messner-Loebs,writer,Continuity,,,,5B4A8A47-62E1-8845-A743-99CE2B73669C
,Character,,,,,"Mike Deodato, Jr.","pencils, inks",WFH,,,,168B8EE5-8873-AA40-9E8F-FFFD64E7AC63
,Character,,,,,Brian Bolland,cover,WFH,,,,B8473432-8107-5D4E-9D03-FA9D8078FF8A
,Character,,,,,Patricia Mulvihill,color,N/A,,,,0A4C66E7-BBF0-CC4F-B9AA-6EC006CD7417
Triple X-Ray,Character,"Point Blank
Sleeper",Sleeper #2,Apr-03,N,Ed Brubaker,writer,WFH,,,,8ED69044-6073-C64A-B075-C3815FA75D31
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,5BE92CE5-153B-424D-A543-8697B873CD64
,Character,,,,,Tony Avina,color,N/A,,,,E53A9D19-A14F-D74C-8B91-21B39A67BEB4
,Character,,,,,Randy Mayor,color,N/A,,,,91994848-0AD2-4240-A99B-523A6051DB00
"Triplicate Girl
(Luorno Durgo)",Character,,"Action Comics #276
""Supergirl's Three Super Girl-Friends""",May-61,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,ECF9EC35-1C29-3A45-A407-11BFD6396A88
,Character,,,,,James (Jim) Mooney,"pencils, inks",None,,Deceased,,1E5B476A-1BFD-BE44-A071-8C28E5BAA564
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,4A64923F-3E1A-B846-9E04-9CEB90029969
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,75FD6FB2-56D5-B04D-9E4B-69C548D8A49D
Turbine,Character,"Point Blank
Sleeper",Sleeper #5,Jul-03,N,Ed Brubaker,writer,WFH,,,,EB6ED521-7DDC-E749-85FE-5F143E96C531
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,7F2F97FE-4637-9541-9765-F704D4B1A5A1
,Character,,,,,Tony Avina,color,N/A,,,,83A82A01-AD1D-7346-B694-6AB2016B095C
The Turtle,Character,"Flash 210
(1/19/2016)","All-Flash #21
""The Fastest Man Alive vs. The Slowest Man Alive""",Dec-45,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with is with heirs.,,9F3F3DF6-A27B-FC4C-AD86-9E1AADF5613C
,Character,,,,,Martin Naydel,"pencils, inks, cover",None,,,,66B19220-F679-3741-A13B-641C452AFE86
Turtle-Man,Character,,"Showcase #4
""Mystery of the Human Thunderbolt""",Sep-56,N,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,118F1B1C-7F28-1445-9369-3B0BB4E1A85E
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,9B6343A4-EA28-C347-A952-01FCBB35C7E2
,Character,,,,,Joe Kubert,"inks, cover inks",None,,Deceased,,6B0C2BC0-329D-F74A-8108-CED2EC90E6EB
"Tweedledee
(Deever Tweed)",Character,Gotham 304,"Detective Comics #74
""Tweedledum and Tweedledee""",Apr-43,Y,Don Cameron,writer,None,,Deceased,,C565D5A0-2861-D64C-A62C-39467EECF1EC
,Character,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,D6106DB0-0CD1-C44C-800E-766AC93CFDCB
,Character,,,,,Jerry Robinson,"inks, cover",Settlement,,Deceased,,EF017622-DBD2-6E4F-A718-3C4EDCA168A6
"Tweedledum
(Dumfrey Tweed)",Character,Gotham 304,"Detective Comics #74
""Tweedledum and Tweedledee""",Apr-43,Y,Don Cameron,writer,None,,Deceased,,5C087860-37FE-E348-900E-1294990D8DF9
,Character,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,C428545B-FBFA-9A4A-B393-C70789775BE9
,Character,,,,,Jerry Robinson,"inks, cover",Settlement,,Deceased,,FFCB6C77-1A54-DE4F-9BB1-5D53525D3CB0
"Tweedledum
(Dumson Tweed)",Character,Gotham 304,Villains United #5,Nov-05,N,"Tamra L. James
(Gail Simone)",writer,WFH,,,,F9733A0E-FA8F-6F41-9E5E-E5D9FABD4DEA
,Character,,,,,Dale Eaglesham,pencils,WFH,,,,AC40F6B2-84E4-AF46-8A85-2D2BFBBA45B1
,Character,,,,,Wade Von Grawbadger,inks,WFH,,,,A3FBCCEC-B091-EF4D-923F-4D6AD2783136
,Character,,,,,Jeffrey G. Jones,cover,WFH,,,,E2CE024C-E879-FD4D-ADB9-CE497EE4A9EC
,Character,,,,,Sno Cone,color,N/A,,,,AEB93367-C143-5143-B68C-783DED6C1DAA
"Twister
(Theresa Zimmer)",Character,,New Teen Titans #26,Dec-86,Y,Marv Wolfman,writer,Employment,,,,B18BC97D-53A4-7F41-AC9A-FECB276A0376
,Character,,,,,Eduardo Barreto,"pencils, inks",WFH,,,,5DA84E13-7A86-4448-9780-56847379AC40
,Character,,,,,Kerry Gammill,pencils,None,,,,F9E2B759-E8C7-3048-BFB7-BE1C03A56CF7
,Character,,,,,Romeo Tanghal,inks,WFH,,,,6563F44C-7475-6B41-8559-3F1B556BFB12
,Character,,,,,Ed Hannigan,cover pencils,WFH,,,,ADDF5803-2E88-0649-A159-C60FC9EA26AF
,Character,,,,,Steve Lightle,cover inks,WFH,,,,45C270F3-03D0-1B43-9A9D-6D6F408F3685
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,7EB01E95-C46F-3440-A4D4-4F4C59A3EB85
"Two-Face
(Harvey Dent)",Character,Lego Batman,"Detective Comics #66
""The Crimes of Two-Face""",Aug-42,N,Bob Kane,pencils,Services Agreement,,Deceased,,D9C9BC89-F251-D44F-8665-36701FE49B93
,Character,,,,,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,131D3735-EE47-1C4D-88DA-F4989BBD7408
,Character,,,,,Jerry Robinson,"inks, cover",Settlement,,Deceased,,B10BC3E6-69FB-064B-B192-CE52736E4436
Ultraman,Character,,Justice League of America vol 1 #29,Aug-64,N,Gardner Fox,writer,"Creator Recognition, Equity",Y,Based on Superman,,953F4739-899D-FD47-879D-F5062DD71042
,Character,,,,,Mike Sekowsky,pencils,None,,,,6BA181BE-DCF6-F54D-B5D7-DE2D414B5E2D
,Character,,,,,Bernard Sachs,inks,None,,,,7146D7CB-2582-2E41-BFC6-A00455E3C232
Undertaker,Character,"Point Blank
Sleeper",Sleeper #2,Apr-03,N,Ed Brubaker,writer,WFH,,,,B41AB6A9-8B15-1A43-8A6F-6E531677D054
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,63161625-8B36-8541-B81A-40576D9B86E3
,Character,,,,,Tony Avina,color,N/A,,,,724147D9-D4DF-454C-98A8-651508451C28
,Character,,,,,Randy Mayor,color,N/A,,,,53361182-3DC5-7247-93BE-2A44E9845EA1
Unity Kincaid,Character,,The Sandman #1,Jan-89,N,Neil Gaiman,writer,WFH,Y,,,18641C75-1384-4A49-8086-2B731F765EE6
,Character,,,,,Sam Kieth,pencils,WFH,,,,52D40529-5A51-B749-B37A-965FB6EE6785
,Character,,,,,Mike Dringenberg,inks,WFH,,,,D44BC4EE-0264-D74C-AF07-D8D7102B5E98
,Character,,,,,Dave McKean,cover,WFH,,,,49F7E576-A199-4F48-8C97-CF7835B7FA25
,Character,,,,,Robbie Busch,color,N/A,,,,95B8EF6A-8E62-844B-BDBF-D7D6A42879BB
Unknown Soldier,Character,,"Our Army At War vol 1 #168
""I Knew the Unknown Soldier""",Jun-66,Y,Robert Kanigher,writer,Employment,,Kanigher was an employee of DC from 2/3/47 through 5/31/82.,,34AB4DC5-C943-F744-B5BB-8F9CB5886A5F
,Character,,,,,Joe Kubert,"pencils, inks",None,,,,C4196A5F-448C-7941-86F8-02500DF4D6CD
"Unknown Soldier
(New Earth)",Character,,Star-Spangled War Stories vol 1 #151,Jul-70,Y,Joe Kubert,"writer, pencils, inks",None,,,,29F0809B-FC05-AC4B-A6F4-C1439FC3207B
Unfollow,Property,,Unfollow #1,Nov-15,Y,Rob Williams,writer,Joint Creator/Rolling Option; Writer,Y,,,133E7F60-B51B-B34C-9941-279121EA349E
,Property,,,,,Michael Dowling,"pencils, inks",Joint Creator/Rolling Option; Artist,Y,,,81A3512E-CD71-7D4A-9599-877D40A2D7FF
,Property,,,,,Andrew Robinson,cover,WFH,,,,4D84EF13-9B58-3949-B43F-4D3B6A0A70A5
,Property,,,,,Quinton Winter,color,WFH,,,,2A6FF44B-2A69-024D-B6D8-33A944235A60
The Un-Men,Property,Dark Universe,Swamp Thing #1,Oct-72,N,Len Wein,writer,Settlement,,Deceased,,F2B1AE60-1CE3-E84A-AD66-8BA0BFA6A461
,Property,,,,,Berni Wrightson,"pencils, inks, cover",Settlement,,Deceased,,BA63395B-2A10-744C-AC7C-25067FBAE9FB
"The Unwritten
f/k/a Faction",Property,,The Unwritten #1,Jul-09,Y,Mike Carey,writer,Joint Creator/All Rights; Writer,Y,,,AF06A38C-725C-7240-B1F4-457670409D06
,Property,,,,,Peter Gross,"pencils, inks",Joint Creator/All Rights; Artist,Y,,,E6A3B225-823F-BC4F-81BC-A48169E61CDA
,Property,,,,,Yuko Shimizu,cover,WFH,,,,0CCF1E94-8977-6F4A-A1B1-D8534FB3A3FE
,Property,,,,,Chris Chuckry,color,N/A,,,,E717DCBB-0AE0-534D-8439-3DD5C217AD40
Upside-Down Man,Character,,Justice League Dark vol 2 #1,Sep-18,N,James Tynion IV,writer,WFH,,,,DA8C5DB3-EC41-774D-B3F4-E23BB24D8DE4
,Character,,,,,Alvaro Martinez,pencils,WFH,,,,B3C45931-60D3-FC40-A187-54F29F22E462
,Character,,,,,Raul Fernandez,inks,WFH,,,,5550203D-761D-8F48-96E4-F3DD992D874F
,Character,,,,,Brad Anderson,color,WFH,,,,92EBC55B-C8CE-534E-92E9-751454CB36B6
Uri Kasokav,Character,"Point Blank
Sleeper",Sleeper #4,Jun-03,N,Ed Brubaker,writer,WFH,,,,8333A263-1C4E-784A-A000-EE9B992729F8
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,17E7BB47-395A-8544-BEA4-5586A39FA481
,Character,,,,,Tony Avina,color,N/A,,,,C6E6AA7A-1723-BE41-AD02-D917B8B3D810
Urrika,Location,Supergirl 309,Krypton Chronicles #1,Sep-81,N,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,056C5682-318E-DF4A-9D9D-F573C41E3F0C
,Location,,,,,Curt Swan,pencils,Exclusive,,Deceased,,5CC45892-4F84-0747-A306-835F4543CF71
,Location,,,,,Frank Chiaramonte,inks,Exclusive,,Deceased,,8F228085-8EBF-4C45-98CC-7E25ABC951BF
,Location,,,,,Rich Buckler,cover pencils,Exclusive,,,,20802697-81CE-1F4D-ADDC-17A4B4F16AB5
,Location,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,652992AD-5607-1C41-A517-EC1C5618A182
,Location,,,,,Carl Gafford,color,N/A,,,,32745311-DC1C-C244-AF3C-F10B6747BCC8
"Valentina Vostok
(Negative Woman; White Queen)",Character,Legends 104,Showcase #94,Sep-77,Y,Paul Kupperberg,writer,None,Y,,,08D2E253-ECCF-E74F-B650-9D136B9D1B8F
,Character,,,,,Joe Staton,"pencils, inks",Exclusive,Y,,,0E802D0A-9AC3-3245-A5DD-0CC92F963A84
,Character,,,,,Liz Berube,color,N/A,,,,089A9940-79C3-3E4E-AE74-543750E6A7E3
,Character,,,,,Jim Aparo,cover,Exclusive,,Deceased,,76877127-4BCC-164E-9800-7EDBBB95601F
Validus,Character,,Adventure Comics #352,Jan-67,Y,"James ""Jim"" Shooter",writer,None,,,,3F2C1EDC-F3C7-F742-8133-DBAD3E75BDB4
,Character,,,,,Curt Swan,"pencils, cover pencils",None,,Deceased,,8426D033-A5C2-3B42-9411-25AC61609B0C
,Character,,,,,George Klein,"inks, cover inks",None,,Deceased,,26FC0A0D-4BAC-D34A-A8DA-5AFD6433C61C
Valley of Juru,Location,Supergirl 309,DC Comics Presents #97,Sep-86,N,Steve Gerber,writer,WFH,,,,89E3269F-6372-B340-B3C1-06C551EC350D
,Location,,,,,Rick Veitch,"pencils, cover pencils",WFH,,,,06037AF4-6846-4142-8B9F-8B879883A399
,Location,,,,,Bob Smith,"inks, cover inks",WFH,,,,BEEF58A1-51DE-1842-8EE3-B6EA864C2E50
,Location,,,,,Gene D'Angelo,color,N/A,,,,3A83A748-1950-284A-A017-27B6BF7FB7DB
Van Horn Industries,Location,Arrow 508,Deathstroke the Terminator Annual #2,1993,N,Len Wein,writer,WFH,,Deceased,,D13D98F3-D951-1C48-A81E-96606190CC75
,Location,,,,,Steve Erwin,"pencils, cover pencils",Artist; WFH,,,,C876336A-5E67-F343-AE77-7DFAA91FB440
,Location,,,,,Will Blyberg,"inks, cover inks",WFH,,,,ED6F0087-FF03-6F43-9808-7D1656CDC35C
,Location,,,,,Brian Garvey,inks,WFH,,,,72A0E2F1-2DAA-FE49-90B9-21209259312D
,Location,,,,,Jeff Brennan,inks,WFH,,,,8B894B6B-2645-DA4F-91D7-F99C9BBBD159
,Location,,,,,John Statema,inks,WFH,,,,06278CB2-A697-B34B-B018-EA405A8DAF2C
,Location,,,,,Dave Simons,inks,WFH,,,,97D72123-827A-A34E-B1EC-7BD7C038E0FB
,Location,,,,,Tom McCraw,color,Exclusive,,,,D5092549-F0F0-5749-871A-FEA66A3FB1AE
Van Kull Prison,Location,,The Power Company: Bork #1,Mar-02,N,Kurt Busiek,writer,Writer,,,,10F6591C-8CBE-2E4F-80B7-81D39B0E322A
,Location,,,,,Kieron Dwyer,"pencils, inks",WFH,,,,521C92AC-0BE6-BD48-9604-EEE9077AE7EB
,Location,,,,,Carla Feeny,color,WFH,,,,8C98D5ED-E929-054D-8A8E-DED5CB131281
"Vandal Savage
(Vandar Adg)",Character,Arrow 408,"Green Lantern Quarterly #10
""The Man Who Wanted The World""",Dec-43,Y,Alfred Bester,writer,None,,Deceased,,FDDF60E4-55AE-A846-9F75-C8265C38F56B
,Character,,,,,Martin Nodell,"pencils, inks",Settlement,,Deceased,,55B71970-7572-3344-976F-42A394F73CC2
,Character,,,,,Irwin Hasen,cover,None,,,,343310A2-84AB-104F-8AFC-EFDC0D7FE0DE
Vandermeer Steel,Location,Flash 420,Firestorm: The Nuclear Man #86,Jun-89,N,John Ostrander,writer,None,,We have located  WFH agreements for Ostrander's run on Firestorm including #85 & #88. We also have a continuity agreement for issues #88-99.,,C7D011C4-A538-7749-A16B-98BC6882FB10
,Location,,,,,Tom Mandrake,"pencils, inks, cover",WFH,,,,23F83F8D-A897-F24B-9C3E-25A11C99F8DE
,Location,,,,,Nansi Hoolahan,color,N/A,,,,AEC08F20-3BA6-2E43-82FF-19EBD6209C1A
Vanderveer Wayne,Character,,"Batman #148
""The Boy Who Was Robin""",Jun-62,N,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,771CA38C-FE22-9848-99DA-32EA112F9B46
,Character,,,,,Sheldon Moldoff,"pencils, cover",None,,"Deceased
Per the library and Wayne Smith (Corp. Legal), please check to see if Bob Kane should also be included in credits.",,A581B0EF-D37B-304E-8490-F9291E07B9E6
,Character,,,,,Stan Starkman,inks,None,,Deceased,,57EA81C9-F613-1342-9A2A-03931B531C3E
Vanessa van Helsing,Character,Night Force,"New Teen Titans #21
""Night Force""",Jul-82,N,Marv Wolfman,writer,Writer,,,,E6A23F48-24D6-0943-A177-1BCDFCC536E8
,Character,,,,,Eugene Colan,"pencils, cover pencils",Exclusive,,Deceased,,15E073F4-D853-3549-A4DF-EC76F93443AA
,Character,,,,,Robert L. Smith,"inks, cover inks",None,,,,04B83A8F-8715-A84F-9F43-EAF27C17B743
,Character,,,,,Michele Wolfman,color,N/A,,,,76151968-E4C8-E64F-B49F-1EBE6A1A96BA
Vanishing Point,Location,Legends 114,Adventures of Superman #476,Mar-91,N,Dan Jurgens,"writer, pencils, cover pencils",WFH,,,,CD65C494-1190-E545-A41E-C24007B3701B
,Location,,,,,Brett Breeding,inks,WFH,,,,0763025D-2215-4442-8203-FCE3F09CF239
,Location,,,,,Art Thibert,cover inks,WFH,,,,593D5FD7-A4D4-E54E-A166-50CEE808C6FD
,Location,,,,,Glenn Whitmore,color,N/A,,,,9122ACAC-9E95-5245-B920-4BBEF1D712A8
Vasily Kosov,Character,,Detective Comics #742,Mar-00,N,Greg Rucka,writer,WFH,,,,8FEDC853-8465-A441-8B8E-4ED852E0E39A
,Character,,,,,Shawn Martinbrough,pencils,WFH,,,,31E3EFD6-2F1D-E147-BD18-744E8BCEBC84
,Character,,,,,Steve Mitchell,inks,WFH,,,,9B745325-E131-BA4C-A71D-E076F317B186
Velocity 9,Property,"Flash 208
(12/1/2015)","Flash #12
""Velocity 9""",May-88,N,Mike Baron,writer,WFH,,,,83965D9E-85FA-C045-A4E7-A44B075523E3
,Property,,,,,Michael T. Collins,"pencils, cover pencils",WFH,,,,25139D8C-5C8E-9E4E-B9AA-DFB90F684A59
,Property,,,,,Larry Mahlstedt,"inks, cover inks",WFH,,,,4A38F113-0C4C-784E-9553-B756F2C38F2C
,Property,,,,,Michele Wolfman,color,Exclusive,,,,DBFD43B9-0D80-D44A-8646-857EC51F83F6
Venelia,Character,"Wonder Woman
(2017)",Wonder Woman #91,Nov-94,N,William Messner-Loebs,writer,Continuity,,,,8927445D-C7EA-544D-B337-CDC4C16ECC98
,Character,,,,,"Mike Deodato, Jr.","pencils, inks",WFH,,,,CFB249A9-CAD2-654D-BB77-B127975540DD
,Character,,,,,Brian Bolland,cover,WFH,,,,0BF2CB6A-CC2F-2E48-BF85-F9910FC2F1F8
,Character,,,,,Patricia Mulvihill,color,N/A,,,,E4873142-B642-5C45-BC26-08617DC694AB
"Ventriloquist
(Shauna Belzer)",Character,,Batgirl vol 4 #20,Jul-13,Y,Gail Simone,writer,WFH,,,,37CAC714-9EB2-F547-9367-2A5D9E02225C
,Character,,,,,Daniel Sampere,pencils,WFH,,,,0661CAF9-5BF6-2E47-B3FF-70B4E02C591C
,Character,,,,,Carlos Rodriguez,pencils,WFH,,,,80EDE2B3-A435-0945-9F47-A3CB5B7E58DE
,Character,,,,,Jonathan Glapion,inks,WFH,,,,20A6176E-7F85-9C4A-8440-ADFF49EBA983
,Character,,,,,Vincent Cifuentes,inks,WFH,,,,421BE55D-3F47-A741-BFF7-A0E89F452051
"The Ventriloquist
(Arnold Wesker; Scarface)",Character,Lego Batman,Detective Comics #583,Feb-88,N,John Wagner,writer,Writer,Y,,,DD2F4615-5C2C-D344-BE24-D7A9A8129B6A
,Character,,,,,Alan Grant,writer,Writer,Y,,,D45E7545-77C6-FF47-ACAA-C60A734D246D
,Character,,,,,Norm Breyfogle,pencils,WFH,1993,Deceased,,BADD8A9A-5730-B949-9C69-8F8D40059710
,Character,,,,,Kim DeMulder,inks,WFH,,,,4F73F468-E77B-5246-87D4-90C8907D836E
,Character,,,,,Mike Mignola,cover,None,,,,7FF6386F-F2AA-BE43-B789-4B3FA119E0F1
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,361C9D7F-2046-CE44-BA23-EDA02F734BF9
Veronica Dale,Character,Flash 415,Green Arrow #97,Jun-95,N,Chuck Dixon,writer,Continuity Writer,2014,,,C7E32E37-DAF8-8D4A-88A2-E914A428AA41
,Character,,,,,Rodolfo Damaggio,"pencils, cover pencils",WFH,,Character equity agreement sent in 2014; never signed.,,DFBE16BA-3F82-E94D-94B4-4F25187E01B7
,Character,,,,,Gerry Fernandez,inks,WFH,,,,5809AE14-9E90-984D-908E-A67D6E477B22
,Character,,,,,Frank McLaughlin,inks,WFH,,Deceased,,F6F5AC13-11E3-EC4D-AEAA-A405727B3427
,Character,,,,,Rob Leigh,inks,WFH,,,,D0D884A5-572C-C24C-9051-5A95F1464C93
,Character,,,,,Klaus Janson,cover inks,WFH,,,,6261791D-CA5D-434A-B944-71EDCA4DC6BA
,Character,,,,,Lee Loughridge,color,N/A,,,,F82D4E5D-389D-CC46-AB10-188AA015E5E7
Veronica St. James,Character,"Point Blank
Sleeper",Sleeper #6,Aug-03,N,Ed Brubaker,writer,WFH,,,,F55D116B-CAE4-674B-AD2B-7A8792B1A9DD
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,86D4FFC2-661E-DB4C-BB38-1DFCF58E8A43
,Character,,,,,Tony Avina,color,N/A,,,,769DA2E4-59AA-AB41-AA89-276D20BEC944
Vesper Fairchild,Character,,Batman #540,Mar-97,N,Doug Moench,writer,,,,,9D556889-BCAF-7C49-BF0D-AB09B6EEAC7D
,Character,,,,,Kelley Jones,pencils,,,,,50F3D8D3-82A3-F145-B17A-A17251A25BC3
,Character,,,,,John Beatty,inks,,,,,24DBFEF7-8B70-1847-89D6-2C14756595DA
,Character,,,,,Gregory Wright,color,,,,,77965AB7-FE9A-964B-ABB9-64D8103FD0AC
"Vibe
(Paco Ramone)",Character,,Justice League of America Annual #2,Oct-84,Y,Gerry Conway,writer,WFH,2013,,,8E9DC7B5-A3D6-A74E-ADD6-03EBB6D390B8
,Character,,,,,Chuck Patton,"pencils, cover pencils",WFH,2013,,,6D206547-78BF-AC4A-AE34-D6ABC660016B
,Character,,,,,Dave Hunt,inks,WFH,,,,320D268A-8838-5046-991D-3F9ABF39BEBF
,Character,,,,,Dick Giordano,cover inks,None,,"Giordano may have been an employee of DC at this time.
Deceased",,8E0C1EB9-130C-FC4F-A5F0-932FCEEB22F3
,Character,,,,,Carl Gafford,color,N/A,,,,614EFE44-482E-9641-91C8-778530F28254
"Vibe
(Francisco ""Cisco"" Ramon)",Character,,The New 52: FCBD Special Edition,Jun-12,N,Geoff Johns,writer,WFH; Exclusive,,,,86846F4A-B1CE-D94C-9A7F-21F14F56B1B5
,Character,,,,,Kenneth Rocafort,"pencils, inks",WFH,,,,2A048224-7A58-8540-AE72-A6D30A4C587D
,Character,,,,,Gene Ha,"pencils, inks",WFH,,,,B674C800-2F82-2944-92E0-146B5BC9E70C
,Character,,,,,Jim Lee,"pencils, cover pencils",Firewall Agreement,,,,D158AC9D-516E-C842-926F-EB26345C7AE0
,Character,,,,,Ivan Reis,pencils,WFH,,,,BECDC713-7E37-EE41-A27D-AC8D47B64599
,Character,,,,,Scott Williams,"inks, cover inks",WFH,,,,4341EF4D-D445-E745-AEF9-71DE7C8BF99F
,Character,,,,,Kevin Senft,digital inks,WFH,,,,9AFDE2C9-9B78-B34A-AF73-EFE6384D0254
,Character,,,,,Joe Prado,finishes over layouts,WFH,,,,9D3D4BDD-B768-BB4F-9221-A0B66BD41F4C
,Character,,,,,Rod Reis,color,N/A,,,,E3132086-71A0-674E-A18D-A6A8AC0839DA
,Character,,,,,Art Lyon,color,N/A,,,,488BD85F-2A7A-1D4B-BF28-B069B3ADF402
,Character,,,,,Alex Sinclair,color,Exclusive,,,,4BF4D5A4-D8A0-8B4F-834D-E47B50F8A827
Vic Sommers,Character,,"Action Comics Weekly #601
""Listening to the Mockingbird""",1988,N,Martin Pasko,writer,WFH,,,,897C4C38-4720-1E43-BB8B-464475CFACF3
,Character,,,,,Dan Spiegle,"pencils, inks",WFH,,,,D9B294C5-A072-FC46-8202-80854EE3FA43
,Character,,,,,Dave Gibbons,cover,WFH,,,,2233F8D3-A1D7-E745-8010-BE3E48416782
,Character,,,,,Carl Gafford,color,N/A,,,,85F45945-BECB-9547-8986-00A5876F012A
Vicki Vale,Character,Gotham 301,"Batman #49
""The Scoop of the Century""",Oct-48,N,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,F1982B19-E6E8-3540-A0E2-FB5CF5A9F0B3
,Character,,,,,Lew Sayre Schwartz,pencils,None,,"Deceased
Schwartz's 2010 equity agreement for Deadshot acknowledges that all his services on Batman were WFH, regardless of whether he was employed by DC or Bob Kane.",,8BE642FF-9983-D94F-A65E-9850120EC274
,Character,,,,,Bob Kane,"pencils, cover pencils",Services Agreements,,Deceased,,6B24DDFA-5FCF-1040-AB46-F0B581C1A883
,Character,,,,,Charles Paris,"inks, cover inks",None,,Deceased,,A0E45C91-7485-AA40-A556-E3754F39617D
"Victor Zsasz
(Mr. Zsasz)",Character,Lego Batman,Batman: Shadow of the Bat #1,Jun-92,N,Alan Grant,writer,WFH,Y,,,0263FBBF-8D6F-D747-BEC7-7ED626462DDD
,Character,,,,,Norm Breyfogle,"pencils, inks",WFH,2013,Deceased,,9C4EA570-237C-D04A-81FF-2C0CF22A8A58
,Character,,,,,"Brian Stelfreeze
(Jefferson Mitchell)",cover,WFH,,,,10EDB230-2950-B243-93E3-39E76DF7A7F9
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,D730C21D-00F8-7146-B81B-5C8C9AD39E12
"Vigilante
(Greg Sanders)",Character,,"Action Comics #42
""The Origin of the Vigilante""",Nov-41,N,Mort Weisinger,writer,N/A,,"Weisinger may have been an employee of DC at this time.
Deceased",,40918938-94AA-374B-928F-F71969034F83
,Character,,,,,Mort Meskin,"pencils, inks",None,,Deceased,,AFA9EFC6-341B-8B45-942D-82475E7D2127
,Character,,,,,Fred Ray,cover,None,,Deceased,,94E3B2C9-E9E4-DF49-9FB0-DFDA03A235C4
